Date,Ayrshire and Arran,Borders,Dumfries and Galloway,Fife,Forth Valley,Grampian,Greater Glasgow and Clyde,Highland,Lanarkshire,Lothian,Orkney,Shetland,Tayside,Western Isles,The Golden Jubilee National Hospital
2020-03-18,0,0,0,0,0,0,0,,,,,,,,,0
2020-03-19,0,0,0,0,0,0,0,,,,,,,,,0
2020-03-20,0,0,0,0,0,0,0,,,,,,,,,0
2020-03-21,0,0,0,0,0,0,0,,,,,,,,,0
2020-03-22,0,0,0,0,0,0,0,,,,,,,,,0
2020-03-23,0,0,0,6,0,7,0,5,0,,,,,,,18
2020-03-24,0,0,0,8,0,0,2020,0,0,0,8,14,0,6,0,2056
2020-03-26,0,0,0,12,0,0,2020,0,0,18,0,0,2020,0,0,4105
2020-03-29,7,0,0,17,24,0,7,0,,,,,,,,55
2020-03-30,9,0,6,0,22,0,0,2020,7,0,22,32,0,10,0,2128
2020-04-01,11,6,0,0,0,2020,5,38,5,28,35,0,12,0,,2160
2020-04-03,14,7,6,12,0,0,2020,5,51,5,31,41,0,17,0,2209
2020-04-05,14,8,5,10,0,0,2020,0,2020,0,2020,0,2020,0,2020,18285
2020-04-15,13,6,6,5,7,15,71,5,29,28,0,6,0,,,191
2020-04-16,13,6,6,6,5,16,70,6,30,28,0,6,0,,,192
2020-04-17,11,6,5,6,6,15,67,6,29,30,0,5,0,,,186
2020-04-18,12,6,5,6,0,0,2020,13,62,6,27,29,0,6,0,2192
2020-04-20,11,7,5,5,0,0,2020,10,60,5,22,29,0,7,0,2181
2020-04-22,8,7,0,8,55,5,22,29,0,7,0,,,,,141
2020-04-23,10,0,6,5,12,49,0,0,2020,6,0,17,26,0,6,2157
2020-04-25,7,5,0,18,25,0,5,0,,,,,,,,60
2020-04-26,8,0,6,5,9,49,0,0,0,,,,,,,77
2020-04-27,7,0,6,6,9,47,0,0,0,,,,,,,75
2020-04-28,5,0,6,5,10,48,5,13,21,0,0,2020,0,12,17,10366
2020-05-04,6,0,6,6,13,39,0,0,0,,,,,,,70
2020-05-05,8,0,5,0,10,18,0,0,2020,0,0,5,18,0,0,12312
2020-05-12,7,0,0,11,29,0,0,0,,,,,,,,47
2020-05-13,7,0,0,9,27,0,0,0,,,,,,,,43
2020-05-14,5,0,0,11,26,0,0,0,,,,,,,,42
2020-05-15,0,0,0,12,12,0,0,2020,0,0,5,21,0,0,0,2070
2020-05-17,0,0,0,11,7,0,0,2020,0,0,10,10,0,0,2020,4104
2020-05-20,0,0,0,8,8,0,0,2020,0,0,6,16,0,12,0,4110
2020-05-23,0,0,0,13,0,0,0,,,,,,,,,13
2020-05-24,0,0,0,12,0,8,0,0,2020,0,0,0,0,0,0,2040
2020-05-26,0,0,0,11,0,5,0,0,2020,0,0,0,5,12,0,6124
2020-05-30,0,0,0,9,0,9,0,0,2020,0,0,0,0,0,0,4058
2020-06-02,0,0,0,7,5,0,0,2020,0,0,0,6,9,0,0,32422
2020-06-19,0,0,0,0,0,0,0,,,,,,,,,0
2020-06-20,0,0,0,0,0,0,0,,,,,,,,,0
2020-06-21,0,0,0,0,0,0,0,,,,,,,,,0
2020-06-22,0,0,0,0,0,0,0,,,,,,,,,0
2020-06-23,0,0,0,0,0,0,0,,,,,,,,,0
2020-06-24,0,0,0,0,6,7,0,0,2020,0,0,0,0,0,0,2033
2020-06-26,0,0,0,0,0,0,0,,,,,,,,,0
2020-06-27,0,0,0,0,0,0,0,,,,,,,,,0
2020-06-28,0,0,0,0,0,0,0,,,,,,,,,0
2020-06-29,0,0,0,0,0,0,0,2020,0,0,0,0,9,0,0,6077
2020-07-03,0,0,0,0,0,0,0,,,,,,,,,0
2020-07-04,0,0,0,0,0,0,0,,,,,,,,,0
2020-07-05,0,0,0,0,0,0,0,2020,0,0,0,0,0,0,0,2020
2020-07-07,0,0,0,0,0,0,0,2020,0,0,0,0,0,0,0,2020
2020-07-09,0,0,0,0,0,0,0,2020,0,0,0,0,7,0,0,4047
2020-07-12,0,0,0,0,0,0,0,2020,0,0,0,0,0,0,0,2020
2020-07-14,0,0,0,0,0,0,0,,,,,,,,,0
2020-07-15,0,0,0,0,0,0,0,2020,0,0,0,0,0,0,0,2020
2020-07-17,0,0,0,0,0,0,0,,,,,,,,,0
2020-07-18,0,0,0,0,0,0,0,,,,,,,,,0
2020-07-19,0,0,0,0,0,0,0,2020,0,0,0,0,0,0,0,2020
2020-07-21,0,0,0,0,0,0,0,,,,,,,,,0
